Country Name,Investment Freedom ,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,GDP per Capita (PPP)
Namibia,65.0,37.0,34.0,28.6,41.3,"$11,312"
Nepal,10.0,25.0,25.0,18.7,23.3,"$2,679"
Netherlands,90.0,52.0,25.0,38.8,43.6,"$53,635"
New Zealand,80.0,33.0,28.0,32.1,40.7,"$38,934"
Nicaragua,60.0,30.0,30.0,22.6,26.4,"$5,849"
Niger,55.0,35.0,30.0,13.5,28.5,"$1,164"
Nigeria,45.0,24.0,30.0,5.2,10.8,"$5,929"
Norway,75.0,47.8,23.0,38.0,49.9,"$71,831"
Oman,65.0,0.0,12.0,8.5,47.4,"$45,157"
Pakistan,55.0,30.0,30.0,12.4,20.3,"$5,358"
Panama,75.0,25.0,25.0,15.8,22.2,"$25,351"
Papua New Guinea,25.0,42.0,30.0,12.5,19.1,"$3,675"
Paraguay,75.0,10.0,10.0,13.0,26.5,"$9,826"
Peru,75.0,30.0,28.0,16.0,21.5,"$13,334"
Philippines,60.0,35.0,30.0,13.7,19.4,"$8,315"
Poland,80.0,32.0,19.0,33.6,41.3,"$29,521"
Portugal,70.0,48.0,23.0,34.4,46.3,"$30,417"
Qatar,60.0,0.0,0.0,5.7,37.9,"$124,529"
Romania,70.0,10.0,16.0,26.0,32.1,"$24,508"
Russia,30.0,13.0,20.0,22.2,35.4,"$27,834"
Rwanda,60.0,30.0,30.0,15.0,26.2,"$2,080"
Saint Lucia,65.0,30.0,30.0,24.0,26.3,"$14,450"
Saint Vincent and the Grenadines,70.0,32.5,33.0,27.1,29.3,"$11,491"
Samoa,55.0,27.0,27.0,23.6,35.5,"$5,740"
São Tomé and Príncipe,60.0,20.0,25.0,15.9,33.2,"$3,180"
Saudi Arabia,45.0,2.5,2.5,3.4,37.6,"$54,777"
Senegal,60.0,40.0,30.0,20.4,29.8,"$2,727"
Serbia,70.0,10.0,15.0,38.4,42.8,"$15,000"
Seychelles,55.0,15.0,33.0,32.6,36.4,"$28,779"
Sierra Leone,60.0,15.0,30.0,12.2,22.8,"$1,553"
Singapore,85.0,22.0,17.0,13.7,17.6,"$93,906"
Slovakia,75.0,25.0,21.0,32.7,42.4,"$33,025"
Slovenia,70.0,50.0,17.0,37.0,45.4,"$34,407"
Solomon Islands,15.0,40.0,30.0,30.8,46.0,"$2,157"
South Africa,45.0,45.0,28.0,31.3,32.8,"$13,545"
Spain,85.0,45.0,25.0,33.5,42.3,"$38,286"
Sri Lanka,40.0,24.0,28.0,12.3,19.8,"$12,811"
Sudan,5.0,10.0,35.0,6.7,10.6,"$4,586"
Suriname,40.0,38.0,36.0,13.2,27.6,"$14,606"
Sweden,85.0,57.0,22.0,44.1,49.4,"$51,475"
Switzerland,85.0,40.0,24.0,27.8,34.3,"$61,422"
Taiwan ,60.0,45.0,20.0,8.9,17.7,"$50,294"
Tajikistan,25.0,13.0,15.0,20.6,34.3,"$3,212"
Tanzania,55.0,30.0,30.0,12.4,18.0,"$3,240"
Thailand,55.0,35.0,20.0,15.6,21.8,"$17,856"
Timor-Leste,45.0,10.0,10.0,13.1,57.5,"$5,444"
Togo,65.0,45.0,27.0,21.5,27.7,"$1,659"
Tonga,40.0,20.0,25.0,20.7,44.4,"$5,608"
Trinidad and Tobago,60.0,25.0,25.0,22.8,35.7,"$31,367"
Tunisia,45.0,35.0,30.0,20.8,29.2,"$11,755"
Turkey,70.0,35.0,22.0,25.5,34.1,"$26,893"
Turkmenistan,10.0,10.0,8.0,15.6,16.4,"$18,126"
Uganda,55.0,40.0,30.0,12.9,19.4,"$2,354"
Ukraine,35.0,20.0,18.0,33.1,42.1,"$8,713"
United Arab Emirates,40.0,0.0,0.0,8.9,32.3,"$67,741"
United Kingdom,90.0,45.0,20.0,33.2,41.6,"$44,118"
United States,85.0,37.0,21.0,26.0,37.8,"$59,501"
Uruguay,85.0,30.0,25.0,27.4,32.9,"$22,371"
Uzbekistan,10.0,22.0,7.5,18.2,33.0,"$6,929"
Vanuatu,65.0,0.0,0.0,16.3,39.1,"$2,739"
Venezuela,0.0,34.0,34.0,14.9,37.4,"$12,114"
Vietnam,30.0,35.0,22.0,18.0,29.4,"$6,913"
Zambia,55.0,35.0,35.0,17.9,25.8,"$3,996"
Zimbabwe,25.0,51.5,25.0,22.3,29.2,"$2,283"
